ID,Modulo,Area,Escenario,Prioridad,Tipo,Rol,Precondiciones,Pasos,ResultadoEsperado,Automatizar,Notas
AUTH-001,Auth,Funcional,Login de pasajero con credenciales validas,Alta,Positivo,Passenger,Usuario registrado y activo,"Abrir login; capturar correo y contrasena; enviar formulario",Acceso al dashboard passenger,Si,Smoke basico
AUTH-002,Auth,Funcional,Login con contrasena invalida,Alta,Negativo,Todos,Usuario existente,"Abrir login; capturar password incorrecto; enviar",Mensaje claro sin sesion,Si,Evitar mensaje tecnico
AUTH-003,Auth,Seguridad,Acceso con token expirado,Alta,Negativo,Todos,Token expirado,"Consumir ruta protegida",401 o redireccion a login,Si,API y frontend
AUTH-004,Auth,UI/UX,Sesiones separadas por rol en ventanas distintas,Alta,Edge,Todos,Cuentas por rol disponibles,"Abrir sesiones de passenger driver admin en contextos separados",No se mezclan datos ni rol visible,Si,Usar Playwright browser contexts
REG-001,Registro,Funcional,Registro pasajero exitoso,Alta,Positivo,Passenger,Correo y telefono nuevos,"Completar formulario; enviar",Cuenta creada y sesion iniciada o redireccion esperada,Si,Base de smoke
REG-002,Registro,Funcional,Registro conductor exitoso,Alta,Positivo,Driver,Correo y telefono nuevos,"Completar formulario; enviar",Cuenta creada y flujo de conductor disponible,Si,Validar bypass dev si aplica
REG-003,Registro,Negativo,Registro con email duplicado,Alta,Negativo,Todos,Email ya existente,"Intentar nuevo registro",Bloqueo con mensaje claro,Si,No duplicar usuarios
VER-001,Verificacion,Funcional,Pasajero sube INE frente y reverso,Alta,Positivo,Passenger,Pasajero autenticado,"Ir a verificacion; subir frente y reverso; enviar",Documentos guardados en pending,Si,Upload local
VER-002,Verificacion,Permisos,Pasajero sin aprobacion intenta reservar,Alta,Negativo,Passenger,Passenger pending,"Buscar trip; intentar reservar",Bloqueo con CTA a verificacion,Si,Regla critica
VER-003,Verificacion,Admin,Admin aprueba usuario pendiente,Alta,Positivo,Admin,Usuario con documentos pending,"Abrir admin verifications; revisar detalle; aprobar",Usuario pasa a approved,Si,Impacta operacion
